Accession 	 ORF 	 start 	 end 	 strand
NZ_AP024940.1	NZ_AP024940.1_1380	1456543	1457451	-1
NZ_CP111043.1	NZ_CP111043.1_1135	1353684	1354538	1
NZ_CP096201.1	NZ_CP096201.1_1646	1782363	1783829	-1
NZ_CP106754.1	NZ_CP106754.1_1729	1838134	1839651	-1
NZ_CP012999.1	NZ_CP012999.1_3148	3413117	3413956	-1
NZ_CP013341.1	NZ_CP013341.1_2693	2811821	2812684	-1
NZ_CP053032.1	NZ_CP053032.1_1163	1256911	1257600	1
NZ_CP007031.1	NZ_CP007031.1_1676	1905025	1905873	1
NZ_CP094471.1	NZ_CP094471.1_2286	2502372	2503166	1
NZ_CP083677.1	NZ_CP083677.1_1841	2143644	2144657	1
NZ_CP098478.1	NZ_CP098478.1_1121	1288984	1289886	1
NZ_CP019791.1	NZ_CP019791.1_1175	1344391	1345281	-1
NZ_CP020771.1	NZ_CP020771.1_4283	4499088	4500098	-1
NZ_CP018799.1	NZ_CP018799.1_1506	1563590	1564450	-1
NC_016599.1	NC_016599.1_866	945551	946399	1
NZ_CP056118.1	NZ_CP056118.1_235	266614	267453	-1
NZ_CP021955.1	NZ_CP021955.1_1925	2057776	2058537	-1
NZ_CP065143.1	NZ_CP065143.1_1730	1905031	1905888	1
NZ_CP114374.1	NZ_CP114374.1_5534	6051306	6052190	1
NZ_CP033231.1	NZ_CP033231.1_3325	3470551	3472038	-1
NZ_CP093914.1	NZ_CP093914.1_1908	2063192	2064187	-1
NZ_LR134485.1	NZ_LR134485.1_1700	1802426	1803280	-1
NZ_CP080100.1	NZ_CP080100.1_170	193273	194175	1
NZ_CP073119.1	NZ_CP073119.1_1112	1150091	1150972	-1
NZ_CP040432.1	NZ_CP040432.1_2919	3212386	3213093	-1
NZ_CP022123.1	NZ_CP022123.1_1807	1912509	1913387	-1
NZ_CP014042.2	NZ_CP014042.2_817	897349	898293	1
NZ_CP119754.1	NZ_CP119754.1_2746	2906595	2908040	1
NZ_CP009450.1	NZ_CP009450.1_2490	2693230	2694636	-1
NZ_LR134151.1	NZ_LR134151.1_3788	3917319	3918701	1
NZ_CP007230.1	NZ_CP007230.1_13	23427	24812	1
NZ_CP106831.1	NZ_CP106831.1_915	961554	961952	1
NZ_LR134195.1	NZ_LR134195.1_3058	3255525	3256379	-1
NZ_CP050508.1	NZ_CP050508.1_1606	1768764	1770263	-1
NZ_CP103821.1	NZ_CP103821.1_1843	2066922	2067824	1
NZ_CP015379.1	NZ_CP015379.1_1	1	981	-1
NZ_CP046329.1	NZ_CP046329.1_1413	1589705	1590535	-1
NZ_CP126677.1	NZ_CP126677.1_733	869761	870762	1
NZ_CP050845.1	NZ_CP050845.1_1521	1626731	1628167	-1
NZ_CP018937.1	NZ_CP018937.1_174	211214	212230	1
NC_022124.1	NC_022124.1_225	296202	297194	1
NZ_AP019658.1	NZ_AP019658.1_424	490883	491773	1
NZ_CP027231.1	NZ_CP027231.1_2586	3100750	3101769	1
NZ_CP072361.1	NZ_CP072361.1_501	617978	618991	-1
NZ_CP003915.1	NZ_CP003915.1_3544	3816275	3817162	1
NZ_LT629706.1	NZ_LT629706.1_1577	1848628	1849386	1
NZ_CP011102.1	NZ_CP011102.1_1006	1069245	1070138	1
NC_022369.1	NC_022369.1_1445	1563466	1564314	-1
NZ_CP039695.1	NZ_CP039695.1_2011	2065442	2066314	1
NZ_CP050960.1	NZ_CP050960.1_2555	2727573	2728475	-1
NZ_CP012715.1	NZ_CP012715.1_1277	1369071	1369982	-1
NZ_CP022297.1	NZ_CP022297.1_2551	2680482	2681366	-1
NC_012881.1	NC_012881.1_1656	1807318	1808178	1
NZ_CP047135.1	NZ_CP047135.1_101	118445	119329	1
NZ_CP101115.1	NZ_CP101115.1_137	148837	149700	1
NZ_CP018171.1	NZ_CP018171.1_1077	1093402	1094262	1
NC_014306.1	NC_014306.1_1137	1265803	1266795	-1
NZ_CP051866.1	NZ_CP051866.1_765	856642	857505	-1
NZ_CP010122.1	NZ_CP010122.1_1139	1241030	1241935	-1
NZ_CP034566.1	NZ_CP034566.1_1478	1670711	1671631	1
NZ_CP084332.1	NZ_CP084332.1_3164	3553109	3554647	1
NZ_CP111121.1	NZ_CP111121.1_3975	4294394	4295260	-1
NZ_CP020431.2	NZ_CP020431.2_1169	1374810	1375754	-1
NZ_CP017802.2	NZ_CP017802.2_3638	3958281	3959813	1
NZ_CP048106.1	NZ_CP048106.1_628	728808	729671	-1
NZ_CP030750.1	NZ_CP030750.1_3496	3899561	3900463	1
NZ_LR890296.1	NZ_LR890296.1_3	1924	2745	1
NZ_AP023337.1	NZ_AP023337.1_1569	1684017	1685555	-1
NZ_CP025066.1	NZ_CP025066.1_1308	1330814	1332610	-1
NC_014618.1	NC_014618.1_1594	1715136	1716539	-1
NC_021878.1	NC_021878.1_1329	1317362	1318252	-1
NZ_CP104917.1	NZ_CP104917.1_1934	2037440	2038417	-1
NZ_CP116614.1	NZ_CP116614.1_1158	1350886	1351761	1
NZ_CP010029.1	NZ_CP010029.1_3087	3480374	3481753	-1
NZ_CP020588.1	NZ_CP020588.1_1580	1667325	1668233	-1
NZ_CP119076.1	NZ_CP119076.1_1536	1666881	1668353	-1
NC_019751.1	NC_019751.1_2832	3316148	3318106	-1
NZ_CP092193.1	NZ_CP092193.1_60	47775	48659	1
NZ_CP010359.1	NZ_CP010359.1_488	545132	546055	1
NZ_CP072227.1	NZ_CP072227.1_2581	3008310	3009314	1
NZ_CP047226.1	NZ_CP047226.1_2048	2292663	2293676	1
NZ_CP046393.1	NZ_CP046393.1_1591	1831830	1833506	1
NZ_CP054058.1	NZ_CP054058.1_1406	1505799	1507226	-1
NZ_CM002804.1	NZ_CM002804.1_84	90234	91214	-1
NZ_CP018616.1	NZ_CP018616.1_1334	1523780	1525480	1
NZ_CP095072.1	NZ_CP095072.1_2827	3010056	3010904	-1
NZ_CP088010.1	NZ_CP088010.1_2281	2285981	2286757	-1
NZ_CP022823.1	NZ_CP022823.1_1717	1819666	1821174	-1
NZ_CP030313.1	NZ_CP030313.1_1124	1180232	1181158	1
NC_015160.1	NC_015160.1_2871	3387538	3388512	1
NZ_CP083758.1	NZ_CP083758.1_3813	4094452	4095456	1
NZ_CP026681.1	NZ_CP026681.1_84	88546	89634	-1
NZ_CP012035.1	NZ_CP012035.1_988	1098307	1099191	1
NZ_CP104728.1	NZ_CP104728.1_1899	2024700	2025707	1
NZ_CP021920.1	NZ_CP021920.1_2917	2802878	2803768	-1
NZ_AP022519.1	NZ_AP022519.1_3251	3464789	3465640	-1
NZ_CP106752.1	NZ_CP106752.1_358	442431	443288	1
NC_012488.1	NC_012488.1_1100	1135428	1136267	-1
NZ_CP029481.1	NZ_CP029481.1_3821	4079115	4079999	1
NC_014033.1	NC_014033.1_2981	3546359	3547357	1
NC_017454.1	NC_017454.1_2273	2524390	2525325	1
NZ_CP012623.1	NZ_CP012623.1_3159	3683758	3684612	-1
NZ_CP119677.1	NZ_CP119677.1_528	574506	575432	-1
NZ_CP091511.1	NZ_CP091511.1_1724	1667917	1668855	-1
NZ_CP121802.1	NZ_CP121802.1_1169	1307789	1308640	-1
NZ_CP124576.1	NZ_CP124576.1_3310	3516717	3517607	-1
NZ_CP072341.1	NZ_CP072341.1_268	310621	311625	1
NZ_CP046819.1	NZ_CP046819.1_211	194972	195916	-1
NZ_CP114882.2	NZ_CP114882.2_1871	2184426	2185283	-1
NZ_CP091786.1	NZ_CP091786.1_2676	3472176	3473357	-1
NZ_CP073713.1	NZ_CP073713.1_2647	2750845	2751813	-1
NZ_CP053715.1	NZ_CP053715.1_7	7818	8567	1
NC_009614.1	NC_009614.1_1994	2549938	2550933	1
NZ_CP024278.1	NZ_CP024278.1_651	684135	685061	1
NZ_CP047593.1	NZ_CP047593.1_1814	2217936	2218775	1
NC_017030.1	NC_017030.1_5239	6570260	6571141	1
NZ_CP028035.1	NZ_CP028035.1_785	920387	921757	-1
NZ_CP047226.1	NZ_CP047226.1_938	1051276	1052244	-1
NZ_CP010109.1	NZ_CP010109.1_85	68020	68874	1
NZ_LR134531.1	NZ_LR134531.1_1380	1589641	1590561	1
NZ_CP022129.1	NZ_CP022129.1_4137	4594344	4595366	-1
NZ_CP044428.1	NZ_CP044428.1_4267	5019404	5020396	-1
NZ_CP047606.1	NZ_CP047606.1_68	68369	69112	-1
NZ_CP013195.1	NZ_CP013195.1_425	467433	468464	-1
NZ_CP022584.1	NZ_CP022584.1_925	1010485	1011351	-1
NZ_CP016344.1	NZ_CP016344.1_3139	3328161	3329141	-1
NZ_CP069080.1	NZ_CP069080.1_751	849186	850238	1
NZ_AP019735.1	NZ_AP019735.1_1654	2042824	2043888	1
NZ_CP017099.1	NZ_CP017099.1_840	889751	890650	-1
NZ_AP024484.1	NZ_AP024484.1_1713	2275756	2276676	1
NZ_CP091796.1	NZ_CP091796.1_1249	1558713	1559711	1
NZ_CP101508.1	NZ_CP101508.1_1600	1771827	1772756	-1
NZ_CP035880.1	NZ_CP035880.1_150	127868	128737	1
NZ_CP010070.1	NZ_CP010070.1_683	720656	721513	-1
NZ_CP038817.1	NZ_CP038817.1_1151	1254154	1254759	-1
NZ_CP103831.1	NZ_CP103831.1_1689	1901495	1902178	-1
NZ_CM001167.1	NZ_CM001167.1_725	841347	842354	1
NZ_CP091787.1	NZ_CP091787.1_770	1060527	1061522	1
NZ_CP091277.1	NZ_CP091277.1_2181	2267609	2268634	1
NZ_CP076679.1	NZ_CP076679.1_1972	2158983	2159858	1
NZ_CP023516.1	NZ_CP023516.1_1681	1781453	1782361	1
NZ_CP062252.1	NZ_CP062252.1_4477	4970995	4971900	-1
NZ_AP025941.1	NZ_AP025941.1_15	20121	21152	-1
NZ_CP103130.1	NZ_CP103130.1_2185	2734992	2736020	1
NZ_CP024697.1	NZ_CP024697.1_961	1088283	1089287	1
NZ_CP043395.1	NZ_CP043395.1_2251	2477254	2478147	1
NZ_LT629788.1	NZ_LT629788.1_805	849942	850829	-1
NZ_CP065041.1	NZ_CP065041.1_1487	1716492	1717409	-1
NZ_CM001559.1	NZ_CM001559.1_2676	3004746	3005633	1
NZ_CP080239.1	NZ_CP080239.1_585	659826	660833	1
NC_014933.1	NC_014933.1_1278	1616065	1617069	1
NZ_CP019839.1	NZ_CP019839.1_1725	1908497	1909234	1
NZ_CP074200.1	NZ_CP074200.1_3821	4216126	4217070	1
NZ_CP031104.1	NZ_CP031104.1_2052	2137499	2138530	-1
NC_017910.1	NC_017910.1_1354	1494263	1495657	-1
NZ_CP042173.1	NZ_CP042173.1_1141	1262419	1263795	-1
NZ_LR134384.1	NZ_LR134384.1_295	341277	342365	1
NZ_CP034238.1	NZ_CP034238.1_56	46314	47207	1
NZ_CP069440.1	NZ_CP069440.1_2426	2782654	2783652	1
NZ_CP062851.1	NZ_CP062851.1_3417	3560559	3561539	-1
NZ_CP090441.1	NZ_CP090441.1_1021	1268250	1269143	1
NZ_CP072330.1	NZ_CP072330.1_246	287054	288076	1
NZ_CP020370.1	NZ_CP020370.1_2825	3312490	3313335	1
NZ_CP028367.1	NZ_CP028367.1_292	355085	355942	1
NZ_CP017965.1	NZ_CP017965.1_124	148582	149430	1
NZ_CP113361.1	NZ_CP113361.1_1497	1504303	1505328	1
NZ_CP088292.1	NZ_CP088292.1_607	623140	623916	-1
NZ_CP029608.1	NZ_CP029608.1_3152	3555075	3555908	1
NZ_CP009781.1	NZ_CP009781.1_3487	3919796	3921172	-1
NZ_AP024484.1	NZ_AP024484.1_586	753529	754524	-1
NZ_CP104006.1	NZ_CP104006.1_1757	2033248	2034639	-1
NZ_CP102294.1	NZ_CP102294.1_1299	1583543	1584607	1
NZ_CP032005.1	NZ_CP032005.1_3	3435	4379	-1
NZ_CP023184.1	NZ_CP023184.1_2567	2844202	2845581	1
NZ_CP054865.1	NZ_CP054865.1_764	884540	885442	-1
NC_004663.1	NC_004663.1_4157	5279201	5281090	1
NZ_CM002804.1	NZ_CM002804.1_44	50816	52831	1
NZ_CP048243.1	NZ_CP048243.1_1118	1167545	1168933	-1
NC_019960.1	NC_019960.1_947	1196067	1197200	1
NZ_CP018617.1	NZ_CP018617.1_743	847706	848569	-1
NZ_LT607734.1	NZ_LT607734.1_1236	1307858	1309669	1
NZ_CP091792.1	NZ_CP091792.1_613	773215	774231	1
NZ_CP090356.1	NZ_CP090356.1_3985	4319043	4320041	-1
NZ_CP022355.1	NZ_CP022355.1_1349	1355462	1356355	1
NZ_CP012074.1	NZ_CP012074.1_140	171689	172702	-1
NC_018018.1	NC_018018.1_2004	2436646	2437710	-1
NZ_CP010423.1	NZ_CP010423.1_1771	2012227	2013630	-1
NZ_CP054205.1	NZ_CP054205.1_2848	3196075	3196959	-1
NZ_CP072374.1	NZ_CP072374.1_247	303612	304646	1
NZ_CP119334.1	NZ_CP119334.1_1224	1369849	1370790	1
NZ_CP022725.1	NZ_CP022725.1_775	840449	841834	-1
NZ_CP019331.1	NZ_CP019331.1_546	597167	598042	-1
NZ_CP046791.1	NZ_CP046791.1_1486	1693512	1695245	-1
NZ_CP032487.1	NZ_CP032487.1_3087	3379736	3381112	1
NZ_CP062792.1	NZ_CP062792.1_4413	4656319	4657386	1
NZ_CP034752.1	NZ_CP034752.1_1731	1992097	1993500	1
NZ_CP101509.1	NZ_CP101509.1_1448	1619087	1619917	-1
NZ_LR812490.1	NZ_LR812490.1_114	140741	141757	-1
NZ_CP010715.1	NZ_CP010715.1_409	446285	447097	-1
NZ_CP013428.1	NZ_CP013428.1_1626	1848061	1848963	-1
NZ_AP019799.1	NZ_AP019799.1_1707	1872177	1873640	-1
NC_022234.1	NC_022234.1_714	742767	744146	-1
NZ_CP072367.1	NZ_CP072367.1_312	411486	412514	-1
NZ_CP096247.1	NZ_CP096247.1_1907	2320832	2321854	-1
NZ_CP014031.2	NZ_CP014031.2_2082	2402416	2403798	-1
NZ_CP007004.1	NZ_CP007004.1_1346	1511946	1512839	-1
NZ_CP041379.1	NZ_CP041379.1_1943	2634156	2635157	1
NZ_CM001799.1	NZ_CM001799.1_2349	2551559	2553268	1
NZ_CM002636.1	NZ_CM002636.1_2587	2956362	2957105	1
NZ_CP047159.1	NZ_CP047159.1_333	392576	393619	1
NC_016940.1	NC_016940.1_2937	3706530	3707702	-1
NZ_CP060009.1	NZ_CP060009.1_3761	4072115	4072960	1
NC_007517.1	NC_007517.1_2506	2829240	2830160	-1
NZ_AP022671.1	NZ_AP022671.1_1827	1902065	1902937	1
NZ_CP058988.1	NZ_CP058988.1_1719	2020178	2021995	-1
NZ_CP069450.1	NZ_CP069450.1_916	1121904	1122860	-1
NZ_CP128260.1	NZ_CP128260.1_3919	4479218	4479961	-1
NZ_CP064684.1	NZ_CP064684.1_5915	6059633	6060367	1
NZ_CP034090.1	NZ_CP034090.1_1018	1146847	1147674	1
NZ_CP011254.1	NZ_CP011254.1_98	131718	133088	1
NZ_CP009323.1	NZ_CP009323.1_166	192761	193654	1
NZ_CP054614.1	NZ_CP054614.1_4848	5432886	5433725	1
NZ_CP072357.1	NZ_CP072357.1_45	64267	65298	1
NZ_CP042464.1	NZ_CP042464.1_1972	2241870	2242868	-1
NZ_CP085083.1	NZ_CP085083.1_2926	3178084	3178983	-1
NZ_CP026692.1	NZ_CP026692.1_4077	4607765	4608655	1
NZ_CP089977.1	NZ_CP089977.1_1083	1185116	1185880	1
NZ_AP025487.1	NZ_AP025487.1_1513	1831354	1832361	1
NZ_CP087340.1	NZ_CP087340.1_650	707218	707973	-1
NZ_CP011387.1	NZ_CP011387.1_336	347014	347970	-1
NZ_CP072243.1	NZ_CP072243.1_4451	5374971	5375969	-1
NZ_AP025562.1	NZ_AP025562.1_868	1058309	1059412	1
NZ_CP014136.1	NZ_CP014136.1_3637	4093508	4094890	-1
NZ_CP063111.1	NZ_CP063111.1_676	709867	710685	1
NZ_CP008823.1	NZ_CP008823.1_700	730702	731760	-1
NZ_CP085931.1	NZ_CP085931.1_1297	1590356	1591501	1
NZ_AP022110.1	NZ_AP022110.1_1214	1286474	1288111	-1
NZ_CP018925.1	NZ_CP018925.1_957	1027093	1028142	1
NC_021030.1	NC_021030.1_2230	2627209	2628306	-1
NZ_CP022522.1	NZ_CP022522.1_1589	1963232	1964848	1
NZ_CP071796.1	NZ_CP071796.1_523	574044	574976	1
NZ_CP109739.1	NZ_CP109739.1_3063	3345316	3346173	-1
NZ_CP072598.1	NZ_CP072598.1_1055	1238245	1239624	-1
NZ_AP028073.1	NZ_AP028073.1_2267	2689578	2691530	-1
NZ_CP021467.1	NZ_CP021467.1_847	964376	965110	1
NZ_CP121816.1	NZ_CP121816.1_2076	2233092	2234708	-1
NZ_CP076804.1	NZ_CP076804.1_1443	1536725	1537846	-1
NZ_CP058729.1	NZ_CP058729.1_297	330258	331139	-1
NZ_CP116423.1	NZ_CP116423.1_2046	2120267	2121124	-1
NZ_CP066022.1	NZ_CP066022.1_199	222151	223029	1
NZ_CP092751.1	NZ_CP092751.1_2736	2859639	2861378	-1
NZ_CP044990.1	NZ_CP044990.1_3131	3309219	3309989	1
NZ_CP031785.1	NZ_CP031785.1_1964	2038082	2039941	-1
NZ_CP025096.1	NZ_CP025096.1_715	817958	819775	-1
NZ_CP009978.1	NZ_CP009978.1_1492	1718841	1720295	1
NC_015164.1	NC_015164.1_1124	1263398	1264279	-1
NZ_CP012601.1	NZ_CP012601.1_394	407605	409137	1
NZ_CP120373.1	NZ_CP120373.1_2663	2894152	2894973	-1
NZ_CP099727.1	NZ_CP099727.1_1663	1909815	1910564	-1
NZ_CP045328.1	NZ_CP045328.1_861	913881	914744	1
NZ_CP033106.1	NZ_CP033106.1_1325	1500463	1501869	-1
NZ_AP019736.1	NZ_AP019736.1_1623	1976674	1977771	-1
NZ_AP025476.1	NZ_AP025476.1_1575	1772121	1773845	1
NZ_AP022372.1	NZ_AP022372.1_2990	3378580	3379968	-1
NZ_LR027382.1	NZ_LR027382.1_483	619570	620673	1
NZ_CP024176.2	NZ_CP024176.2_138	163528	164286	-1
NZ_CP007044.2	NZ_CP007044.2_2212	2501512	2502894	-1
NC_012880.1	NC_012880.1_2692	3166680	3168041	1
NC_011729.1	NC_011729.1_1861	2068486	2069364	-1
NZ_CP081864.1	NZ_CP081864.1_3113	3185703	3187073	1
NZ_CP010054.1	NZ_CP010054.1_235	267053	268879	1
NZ_AP018335.1	NZ_AP018335.1_2635	2727771	2729222	-1
NC_015164.1	NC_015164.1_2699	3105475	3106476	1
NZ_CP126169.1	NZ_CP126169.1_1077	1212276	1213661	-1
NZ_CP117167.1	NZ_CP117167.1_574	624747	625484	1
NZ_CP043450.1	NZ_CP043450.1_3691	4605504	4607366	1
NZ_LR861803.1	NZ_LR861803.1_62	80093	80830	1
NZ_CP041764.1	NZ_CP041764.1_3200	3573856	3575247	-1
NC_013508.1	NC_013508.1_993	1160244	1161617	-1
NZ_CP012608.1	NZ_CP012608.1_2335	2493131	2493727	-1
NZ_CP118677.1	NZ_CP118677.1_1121	1251756	1252796	-1
NZ_CP033070.1	NZ_CP033070.1_1649	1715921	1716646	-1
NZ_CP006569.1	NZ_CP006569.1_1172	1327291	1328679	-1
NZ_CP044086.1	NZ_CP044086.1_1760	1828996	1830399	1
NC_011408.1	NC_011408.1_3	1819	2799	-1
NZ_CP072334.1	NZ_CP072334.1_1512	1877350	1878420	1
NZ_CP114058.1	NZ_CP114058.1_192	184836	186227	-1
NZ_CP123504.1	NZ_CP123504.1_1904	1981139	1982542	1
NZ_CP085926.1	NZ_CP085926.1_1340	1572033	1573067	1
NZ_CP118020.1	NZ_CP118020.1_1717	1830562	1831617	1
NZ_CP029043.1	NZ_CP029043.1_3275	3631479	3632285	-1
NZ_CP080296.1	NZ_CP080296.1_3873	4692943	4693893	1
NZ_CP045419.1	NZ_CP045419.1_315	354927	355859	-1
NC_017731.1	NC_017731.1_255	253206	254600	1
NZ_CP091519.1	NZ_CP091519.1_2026	1870509	1871306	-1
NZ_CP058985.1	NZ_CP058985.1_2217	2608913	2609788	1
NZ_AP024893.1	NZ_AP024893.1_1749	1941012	1941893	1
NZ_CP012997.1	NZ_CP012997.1_913	970758	971630	1
NZ_CP011008.1	NZ_CP011008.1_3730	3890062	3891840	-1
NZ_CP055263.1	NZ_CP055263.1_429	432390	434165	-1
NZ_CP003915.1	NZ_CP003915.1_998	1074410	1075783	-1
NZ_CM001773.1	NZ_CM001773.1_2056	2481632	2483041	1
NZ_AP024595.1	NZ_AP024595.1_2505	2737261	2738862	-1
NZ_CP026315.1	NZ_CP026315.1_1494	1694306	1695919	1
NZ_OU659150.1	NZ_OU659150.1_2112	2245743	2247158	1
NZ_CP050066.1	NZ_CP050066.1_1141	1272749	1273612	-1
NZ_CP083448.1	NZ_CP083448.1_1966	2135419	2136801	1
NZ_CP012920.1	NZ_CP012920.1_917	1044967	1046772	1
NZ_CP014681.1	NZ_CP014681.1_551	604861	605646	1
NZ_CP082939.1	NZ_CP082939.1_1330	1505267	1506640	-1
NC_022738.1	NC_022738.1_4362	4804156	4804992	1
NZ_CP016020.1	NZ_CP016020.1_971	1037204	1038964	1
NZ_CP069586.1	NZ_CP069586.1_628	703692	704702	1
NZ_CP014167.1	NZ_CP014167.1_1638	1753163	1753909	1
NZ_CP059066.1	NZ_CP059066.1_709	758337	760088	-1
NZ_CP029263.1	NZ_CP029263.1_3861	4731912	4732640	1
NZ_CP048115.1	NZ_CP048115.1_2401	2601831	2603660	-1
NZ_CP090614.1	NZ_CP090614.1_42	69474	71201	-1
NZ_CP064060.1	NZ_CP064060.1_2384	2385367	2387115	-1
NZ_CP049603.1	NZ_CP049603.1_2079	2200427	2201818	-1
NC_018065.1	NC_018065.1_1218	1304947	1306485	1
NZ_LR698987.1	NZ_LR698987.1_1885	2067444	2068838	1
NZ_CP095550.1	NZ_CP095550.1_1501	1284404	1286173	-1
NZ_CP015439.1	NZ_CP015439.1_68	67290	69041	-1
NZ_CP046582.1	NZ_CP046582.1_1473	1668396	1669781	-1
NZ_CP017671.1	NZ_CP017671.1_2432	2683763	2685166	1
NC_009674.1	NC_009674.1_3338	3340928	3342685	-1
NZ_CP093249.1	NZ_CP093249.1_1845	2093324	2094820	1
NZ_CP033906.1	NZ_CP033906.1_3339	3348105	3349865	-1
NZ_CP104758.1	NZ_CP104758.1_1143	1274692	1276080	-1
NC_007968.1	NC_007968.1_26	22605	23591	1
NC_010471.1	NC_010471.1_862	887570	888487	1
NZ_CP015435.1	NZ_CP015435.1_3299	3413397	3415151	1
NZ_CP072526.1	NZ_CP072526.1_1378	1450145	1451023	1
NZ_CP097253.1	NZ_CP097253.1_186	209340	210044	-1
NZ_CP082918.1	NZ_CP082918.1_3277	3234662	3236431	-1
NZ_CP033106.1	NZ_CP033106.1_3258	3552995	3553606	-1
NZ_CP029002.1	NZ_CP029002.1_2591	2728250	2729776	-1
NZ_CP011591.1	NZ_CP011591.1_51	54266	55204	-1
NZ_AP022345.1	NZ_AP022345.1_1933	1968139	1970097	-1
NC_021280.1	NC_021280.1_1718	992580	993110	-1
NZ_CP033459.1	NZ_CP033459.1_1119	1370464	1371534	-1
NZ_CP007155.1	NZ_CP007155.1_869	899970	900908	-1
NZ_LR134474.1	NZ_LR134474.1_1924	1983103	1984647	1
NZ_CP075169.1	NZ_CP075169.1_4203	4382477	4383862	1
NZ_CP089932.1	NZ_CP089932.1_3522	3196052	3197440	1
NZ_LS483422.1	NZ_LS483422.1_1728	2004070	2005461	-1
NZ_CP119194.1	NZ_CP119194.1_475	510594	511976	-1
NZ_CP072453.1	NZ_CP072453.1_1075	1170565	1171953	-1
NZ_AP024470.1	NZ_AP024470.1_2226	2700305	2701348	-1
NZ_CP110885.1	NZ_CP110885.1_4109	4601413	4603221	1
NZ_CP090978.1	NZ_CP090978.1_3643	3795282	3796679	-1
NZ_CP028273.1	NZ_CP028273.1_885	1023596	1024978	-1
NZ_CP014167.1	NZ_CP014167.1_3552	3891789	3893171	-1
NZ_CP125947.1	NZ_CP125947.1_4633	5104919	5105659	-1
NC_015711.1	NC_015711.1_5518	6711980	6712831	-1
NZ_CP031223.1	NZ_CP031223.1_2629	2756284	2757819	-1
NZ_CP015615.1	NZ_CP015615.1_2187	2321985	2323616	-1
NZ_CM001804.1	NZ_CM001804.1_4807	4862341	4864104	-1
NZ_LR607345.1	NZ_LR607345.1_768	967630	968631	1
NZ_CP015579.1	NZ_CP015579.1_2605	2787725	2789119	1
NZ_CP009617.1	NZ_CP009617.1_1794	2022722	2024551	1
NZ_CP022584.1	NZ_CP022584.1_2520	2810250	2811653	-1
NZ_CP038015.1	NZ_CP038015.1_1117	1169891	1171435	1
NZ_CP065511.1	NZ_CP065511.1_4586	4597832	4599607	-1
NZ_CP012938.1	NZ_CP012938.1_1464	1789368	1791725	-1
NZ_CP071841.1	NZ_CP071841.1_386	426033	426776	-1
NC_014306.1	NC_014306.1_3006	3301610	3302995	1
NZ_CM000743.1	NZ_CM000743.1_3780	3640657	3642420	1
NZ_AP025499.1	NZ_AP025499.1_2247	2523414	2525141	1
NZ_CP063976.1	NZ_CP063976.1_414	451998	452534	-1
NZ_CP087177.1	NZ_CP087177.1_618	743292	744176	1
NZ_CP041236.1	NZ_CP041236.1_1694	1838723	1839661	1
NC_013892.1	NC_013892.1_2354	2715566	2716966	1
NZ_CP014137.1	NZ_CP014137.1_508	571766	573154	-1
NZ_CP009678.1	NZ_CP009678.1_3182	3425008	3426381	1
NZ_CP020872.1	NZ_CP020872.1_2999	3556287	3557645	1
NZ_CP052857.1	NZ_CP052857.1_3349	3785713	3786618	1
NZ_CP126086.1	NZ_CP126086.1_2603	2600573	2602339	-1
NZ_CP117878.1	NZ_CP117878.1_3244	3923724	3925493	1
NZ_CP117918.1	NZ_CP117918.1_1064	1242813	1243730	1
NZ_CP026747.1	NZ_CP026747.1_2720	2794473	2795438	-1
NZ_CP063276.1	NZ_CP063276.1_2657	2709776	2711515	-1
NC_012214.1	NC_012214.1_1373	1572698	1574083	-1
NZ_CP051862.1	NZ_CP051862.1_74	89986	91347	1
NZ_CP007739.1	NZ_CP007739.1_1502	1570007	1571302	-1
NZ_CP051177.1	NZ_CP051177.1_2800	2952478	2953875	1
NZ_CP049742.1	NZ_CP049742.1_1925	1858042	1859802	-1
NZ_CP045403.1	NZ_CP045403.1_3096	2973655	2975424	-1
NZ_CP095462.1	NZ_CP095462.1_1891	1805844	1807592	-1
NZ_CP016761.1	NZ_CP016761.1_2852	2770985	2772718	-1
NZ_CP011104.1	NZ_CP011104.1_3511	4025639	4027069	-1
NZ_CP012673.1	NZ_CP012673.1_3496	4786596	4787477	1
NZ_CP028384.1	NZ_CP028384.1_3640	3862088	3862915	1
NZ_CP019706.1	NZ_CP019706.1_2767	3073693	3075075	-1
NZ_CP015378.1	NZ_CP015378.1_3107	2998262	2999989	-1
NZ_CP128153.1	NZ_CP128153.1_4165	4278524	4280293	-1
NZ_CP022657.1	NZ_CP022657.1_379	368373	369125	1
NC_015510.1	NC_015510.1_2115	2639911	2640708	-1
NZ_CP081342.1	NZ_CP081342.1_1542	1655861	1657249	-1
NZ_CP025500.1	NZ_CP025500.1_1163	1227119	1227796	-1
NZ_CP113517.1	NZ_CP113517.1_3978	4255687	4256511	1
NZ_CP109947.1	NZ_CP109947.1_1035	1142663	1144030	-1
NZ_CP024636.1	NZ_CP024636.1_3053	3336497	3337882	-1
NZ_CP022572.1	NZ_CP022572.1_4199	4309141	4310895	-1
NZ_CP009454.1	NZ_CP009454.1_1820	2022659	2024050	-1
NZ_CP066775.1	NZ_CP066775.1_88	89804	91396	-1
NZ_OX460951.1	NZ_OX460951.1_2352	2536488	2537849	1
NZ_CP061799.1	NZ_CP061799.1_565	692685	693506	-1
